Gene	A_Ctrl_1	A_Ctrl_2	A_Ctrl_3	A_Ctrl_4	A_Ctrl_5	A_Ctrl_6	B_AF_1	B_AF_2	B_AF_3	B_AF_4	B_AF_5	B_AF_6
clualt3p103965:MAPK8	0.29	0.24	0.00	0.56	0.36	0.04	0.33	0.57	0.47	0.48	0.43	0.53
clualt5p64092:SLC9A9	0.00	0.07	0.00	0.02	0.00	0.06	0.41	0.09	0.25	0.50	0.41	0.07
clualt3p96629:URB2	0.86	1.00	0	1.00	1.00	1.00	0.83	0.57	0.68	0.85	0.64	0
clualt3p31089:SSH2	0.61	0.62	0.33	0.29	0.48	0.33	0.73	0.67	0.69	0.53	0.56	0.60
clualt3p78766:MSH5-SAPCD1	0.10	0.08	0.17	0.19	0.00	0.17	0.16	0.27	0.62	0.25	0.36	0.18
clualt5p24277:MKNK1	0.10	0.04	0.22	0.13	0.09	0.26	0.13	0.21	0.47	0.26	0.47	0.28
clualt3p95154:NTRK2	0.07	0.15	0.09	0.21	0.15	0.11	0.44	0.38	0.42	0.31	0.38	0.32
clualt5p69719:FBXW7	0.52	0.54	0.59	0.52	0.51	0.59	0.80	0.61	0.55	0.86	0.80	0.75
clualt3p4525:CEP295	0.75	0.87	0.57	0.67	0.86	1.00	0.72	0.00	0	0.42	0.57	0.30
clualt5p48437:TFPI	0.71	0.46	0.35	0.59	0.67	0.42	0.27	0.39	0.52	0.24	0.35	0.39
clualt5p55343:HDHD5	0.19	0.24	0.22	0.07	0.18	0.33	0.56	0.33	0.45	0.33	0.44	0.29
clualt3p27484:SLC7A6OS	0.08	0.24	0.00	0.00	0.06	0.18	0.33	0.36	0.32	0.28	0.29	0.28
clualt3p96375:PHF19	0.82	0.95	0.84	0.81	0.81	0.96	0.62	0	0.76	0.67	0.58	0.68
clualt5p13671:ING1	0.68	0.76	0.71	0.68	0.76	0.75	0.33	0.66	0.71	0.50	0.59	0.49
clualt5p90961:ZDHHC21	0.21	0.29	0.45	0	0.57	0.41	0.29	0.00	0.12	0.00	0.33	0
clualt5p17336:PAPLN	0.78	0.73	0.86	0.58	0.77	0.74	1.00	0	1.00	0.91	1.00	0.89
clualt5p14854:NUBPL	0.12	0.00	0.06	0.05	0.03	0.16	0.23	0.00	0.42	0.28	0.36	0.18
clualt3p108133:ARNTL	0.52	0.54	0.52	0.33	0.78	0	0.62	0.71	0.82	0.85	0.67	0.83
